feedback_id,store_id,comment,rating,feedback_date
154,1,Excellent staff,5,2024-04-09
155,2,Wifi was slow,5,2024-01-02
156,4,Not impressed,4,2024-03-13
157,3,Line was too long,5,2024-04-17
158,1,Bad experience,3,2024-04-03
159,3,Coffee was cold,3,2024-01-28
160,2,Not impressed,4,2024-03-02
161,3,Not impressed,1,2024-01-29
162,5,Too noisy,3,2024-03-23
163,1,Best coffee ever,4,2024-04-27
164,2,Not impressed,5,2024-04-01
165,5,Too noisy,5,2024-04-14
166,4,Needs more vegan options,4,2024-02-25
167,4,Line was too long,5,2024-01-25
168,3,Needs more vegan options,3,2024-04-02
169,1,Bad experience,4,2024-03-27
170,4,Too noisy,5,2024-03-14
171,2,Best coffee ever,4,2024-02-10
172,1,Best coffee ever,4,2024-01-05
173,2,Great service!,3,2024-03-02
174,2,Will come again,3,2024-04-28
175,2,Excellent staff,3,2024-04-26
176,4,Too noisy,4,2024-04-06
177,3,Bad experience,4,2024-04-21
178,4,Best coffee ever,5,2024-03-02
179,4,Best coffee ever,4,2024-04-28
180,3,Tasty food,2,2024-04-14
181,5,Loved the croissant,4,2024-01-05
182,2,Too noisy,4,2024-03-08
183,5,Great service!,5,2024-02-06
184,2,Excellent staff,2,2024-03-08
185,5,Coffee was cold,3,2024-03-29
186,2,Wifi was slow,5,2024-02-01
187,3,Not impressed,4,2024-01-14
188,3,Line was too long,2,2024-03-31
189,3,Needs more vegan options,3,2024-03-30
190,1,Will come again,5,2024-03-03
191,2,Will come again,5,2024-03-12
192,3,Very clean,3,2024-01-30
193,5,Tasty food,2,2024-03-17
194,1,Very clean,2,2024-04-05
195,1,Loved the croissant,4,2024-04-26
196,3,Friendly barista,4,2024-02-12
197,4,Best coffee ever,3,2024-02-22
198,3,Loved the croissant,2,2024-02-22
199,4,Bad experience,4,2024-01-29
200,3,Too noisy,3,2024-03-27
201,2,Loved the croissant,3,2024-01-28
202,5,Coffee was cold,5,2024-03-18
203,4,Needs more vegan options,4,2024-03-14
204,4,Wifi was slow,3,2024-03-11
205,1,Wifi was slow,4,2024-04-24
206,4,Great service!,3,2024-02-18
207,2,Needs more vegan options,4,2024-04-29
208,5,Great service!,5,2024-03-30
209,4,Great service!,4,2024-02-05
210,1,Very clean,4,2024-04-25
211,5,Excellent staff,3,2024-01-27
212,4,Very clean,3,2024-02-26
213,2,Great service!,4,2024-01-28
214,2,Excellent staff,3,2024-04-19
215,5,Too noisy,2,2024-01-30
216,1,Coffee was cold,2,2024-04-28
217,2,Loved the croissant,5,2024-02-13
218,3,Friendly barista,4,2024-02-12
219,3,Wifi was slow,5,2024-02-24
220,4,Loved the croissant,4,2024-03-28
221,2,Loved the croissant,4,2024-03-05
222,3,Coffee was cold,4,2024-04-14
223,4,Tasty food,4,2024-01-27
224,4,Excellent staff,4,2024-01-01
225,4,Coffee was cold,4,2024-01-10
226,1,Very clean,5,2024-02-12
227,4,Very clean,3,2024-03-09
228,1,Best coffee ever,3,2024-01-09
229,3,Tasty food,4,2024-03-07
230,4,Not impressed,5,2024-01-29
231,3,Very clean,3,2024-01-02
232,2,Friendly barista,5,2024-03-22
233,1,Will come again,5,2024-01-14
234,3,Line was too long,4,2024-03-02
235,4,Excellent staff,3,2024-02-24
236,3,Will come again,4,2024-01-29
237,4,Too noisy,3,2024-01-05
238,5,Line was too long,2,2024-04-29
239,1,Coffee was cold,5,2024-04-19
240,2,Needs more vegan options,4,2024-03-09
241,3,Needs more vegan options,4,2024-03-06
242,3,Great service!,3,2024-02-08
243,5,Bad experience,4,2024-01-23
244,4,Will come again,4,2024-04-04
245,2,Tasty food,4,2024-04-23
246,4,Will come again,2,2024-01-16
247,4,Will come again,5,2024-01-22
248,3,Needs more vegan options,5,2024-03-31
249,3,Will come again,4,2024-01-29
250,3,Too noisy,4,2024-03-09
251,1,Bad experience,3,2024-04-25
252,1,Needs more vegan options,2,2024-01-12
253,3,Line was too long,4,2024-01-13
254,4,Not impressed,4,2024-01-08
255,2,Friendly barista,5,2024-04-19
256,2,Friendly barista,2,2024-01-24
257,4,Tasty food,5,2024-04-01
258,5,Very clean,4,2024-02-06
259,4,Bad experience,5,2024-03-31
260,2,Too noisy,4,2024-02-05
261,5,Will come again,2,2024-03-13
262,5,Tasty food,4,2024-01-15
263,2,Not impressed,4,2024-02-28
264,5,Will come again,4,2024-04-19
265,1,Best coffee ever,5,2024-01-05
266,3,Will come again,3,2024-04-01
267,5,Not impressed,1,2024-01-15
268,5,Line was too long,3,2024-04-09
269,1,Friendly barista,3,2024-01-18
270,1,Loved the croissant,3,2024-03-26
271,4,Tasty food,3,2024-01-05
272,2,Loved the croissant,2,2024-03-26
273,4,Coffee was cold,5,2024-01-17
274,2,Best coffee ever,3,2024-01-22
275,1,Will come again,4,2024-03-25
276,3,Not impressed,1,2024-04-19
277,2,Line was too long,5,2024-03-27
278,2,Will come again,4,2024-03-04
279,1,Wifi was slow,5,2024-01-28
280,5,Line was too long,2,2024-04-01
281,4,Coffee was cold,3,2024-03-21
282,3,Too noisy,3,2024-03-23
283,2,Best coffee ever,5,2024-01-13
284,5,Great service!,4,2024-04-18
285,1,Will come again,3,2024-02-14
286,2,Loved the croissant,5,2024-02-03
287,5,Very clean,3,2024-04-20
288,4,Will come again,3,2024-02-23
289,1,Great service!,4,2024-02-02
290,5,Friendly barista,4,2024-04-20
291,5,Will come again,1,2024-01-16
292,2,Tasty food,5,2024-02-12
293,4,Best coffee ever,3,2024-03-01
294,1,Not impressed,3,2024-04-03
295,1,Line was too long,2,2024-01-03
296,4,Too noisy,3,2024-03-31
297,3,Too noisy,4,2024-02-28
298,2,Very clean,5,2024-01-20
299,5,Needs more vegan options,4,2024-04-27
300,2,Too noisy,4,2024-02-01
301,4,Coffee was cold,4,2024-01-21
302,5,Loved the croissant,5,2024-02-15
303,3,Will come again,4,2024-04-26
304,4,Coffee was cold,4,2024-03-09
305,2,Line was too long,5,2024-04-22
306,5,Very clean,4,2024-04-29
307,1,Best coffee ever,5,2024-01-02
308,5,Loved the croissant,4,2024-03-26
309,5,Very clean,3,2024-03-11
310,4,Loved the croissant,5,2024-04-15
311,3,Will come again,4,2024-03-14
312,5,Coffee was cold,2,2024-02-21
313,5,Tasty food,4,2024-04-13
314,3,Too noisy,4,2024-01-01
315,3,Needs more vegan options,5,2024-03-20
316,5,Great service!,3,2024-04-14
317,1,Too noisy,5,2024-01-28
318,1,Excellent staff,3,2024-04-21
319,1,Tasty food,5,2024-03-01
320,4,Excellent staff,4,2024-03-24
321,4,Very clean,5,2024-01-26
322,1,Needs more vegan options,4,2024-03-19
323,1,Coffee was cold,5,2024-04-14
324,1,Best coffee ever,2,2024-04-03
325,3,Line was too long,1,2024-01-12
326,2,Not impressed,2,2024-01-02
327,4,Too noisy,4,2024-03-14
328,4,Excellent staff,4,2024-03-31
329,4,Tasty food,3,2024-04-29
330,2,Wifi was slow,1,2024-01-21
331,5,Bad experience,4,2024-02-24
332,4,Great service!,3,2024-01-16
333,5,Very clean,5,2024-02-06
334,3,Excellent staff,2,2024-02-14
335,1,Bad experience,4,2024-03-26
336,1,Will come again,4,2024-02-08
337,3,Excellent staff,3,2024-02-10
338,1,Will come again,4,2024-01-22
339,3,Not impressed,2,2024-02-18
340,1,Best coffee ever,1,2024-03-21
341,3,Will come again,4,2024-01-17
342,3,Wifi was slow,5,2024-01-26
343,1,Best coffee ever,4,2024-04-10
344,5,Best coffee ever,3,2024-02-07
345,4,Very clean,4,2024-02-07
346,4,Coffee was cold,4,2024-02-10
347,2,Coffee was cold,1,2024-04-15
348,2,Line was too long,2,2024-04-22
349,1,Will come again,5,2024-03-07
350,4,Very clean,4,2024-04-25
351,2,Too noisy,4,2024-03-13
352,4,Very clean,2,2024-03-05
353,3,Excellent staff,3,2024-02-25
354,5,Best coffee ever,4,2024-01-19
355,3,Tasty food,3,2024-01-14
356,2,Bad experience,5,2024-04-13
357,2,Excellent staff,4,2024-04-23
358,1,Friendly barista,3,2024-04-11
359,5,Excellent staff,5,2024-03-06
360,5,Coffee was cold,4,2024-03-11
361,4,Coffee was cold,3,2024-02-07
362,1,Excellent staff,5,2024-02-12
363,5,Too noisy,3,2024-04-28
364,2,Best coffee ever,4,2024-04-01
365,3,Coffee was cold,4,2024-01-10
366,3,Will come again,4,2024-03-29
367,5,Friendly barista,4,2024-01-22
368,3,Coffee was cold,3,2024-03-15
369,2,Wifi was slow,5,2024-03-04
370,4,Very clean,5,2024-04-13
371,2,Not impressed,5,2024-02-14
372,5,Too noisy,3,2024-04-11
373,2,Excellent staff,3,2024-03-14
374,2,Coffee was cold,3,2024-01-18
375,3,Bad experience,4,2024-04-20
376,4,Needs more vegan options,5,2024-03-09
377,1,Very clean,4,2024-01-11
378,5,Line was too long,4,2024-01-27
379,5,Wifi was slow,4,2024-04-26
380,2,Loved the croissant,3,2024-01-27
381,3,Very clean,2,2024-02-29
382,3,Great service!,2,2024-02-05
383,5,Too noisy,4,2024-02-26
384,1,Great service!,4,2024-01-13
385,1,Best coffee ever,5,2024-04-20
386,4,Will come again,4,2024-01-28
387,2,Best coffee ever,2,2024-03-06
388,5,Too noisy,5,2024-01-07
389,1,Tasty food,4,2024-04-05
390,1,Too noisy,5,2024-03-10
391,3,Line was too long,1,2024-01-19
392,4,Line was too long,4,2024-01-15
393,5,Not impressed,4,2024-03-27
394,4,Too noisy,4,2024-03-28
395,1,Line was too long,4,2024-02-15
396,4,Excellent staff,5,2024-04-21
397,1,Very clean,5,2024-02-21
398,3,Bad experience,3,2024-04-01
399,2,Too noisy,5,2024-01-24
400,5,Excellent staff,5,2024-02-23
401,2,Line was too long,4,2024-02-22
402,4,Bad experience,4,2024-02-25
403,1,Wifi was slow,4,2024-01-22
404,2,Tasty food,4,2024-04-15
405,3,Great service!,4,2024-04-29
406,4,Not impressed,5,2024-03-10
407,4,Line was too long,4,2024-02-16
408,2,Bad experience,3,2024-01-04
409,4,Great service!,4,2024-02-03
410,5,Loved the croissant,4,2024-02-20
411,2,Best coffee ever,3,2024-04-12
412,2,Not impressed,4,2024-01-27
413,3,Wifi was slow,5,2024-04-16
414,4,Too noisy,1,2024-01-22
415,3,Line was too long,5,2024-04-20
416,4,Very clean,4,2024-02-23
417,2,Bad experience,4,2024-01-16
418,4,Best coffee ever,5,2024-04-05
419,3,Needs more vegan options,5,2024-02-26
420,2,Friendly barista,3,2024-03-09
421,4,Very clean,5,2024-02-28
422,3,Too noisy,3,2024-02-10
423,4,Best coffee ever,2,2024-02-02
424,3,Loved the croissant,4,2024-02-14
425,5,Excellent staff,5,2024-04-08
426,3,Not impressed,2,2024-03-09
427,1,Will come again,4,2024-01-23
428,4,Not impressed,4,2024-02-15
429,1,Best coffee ever,4,2024-04-10
430,5,Excellent staff,4,2024-02-01
431,3,Tasty food,4,2024-02-21
432,2,Coffee was cold,4,2024-03-18
433,2,Excellent staff,4,2024-04-26
434,3,Not impressed,4,2024-02-02
435,5,Great service!,3,2024-04-16
436,3,Best coffee ever,3,2024-03-09
437,2,Excellent staff,4,2024-02-26
438,2,Too noisy,5,2024-02-04
439,2,Tasty food,3,2024-04-15
440,3,Wifi was slow,3,2024-02-23
441,5,Tasty food,4,2024-04-14
442,5,Not impressed,1,2024-04-20
443,5,Will come again,5,2024-04-11
444,2,Not impressed,4,2024-02-27
445,4,Too noisy,5,2024-03-26
446,3,Best coffee ever,4,2024-03-10
447,2,Excellent staff,5,2024-04-28
448,5,Friendly barista,3,2024-04-27
449,3,Loved the croissant,4,2024-04-13
450,5,Too noisy,3,2024-04-07
451,1,Bad experience,4,2024-02-25
452,2,Very clean,1,2024-01-04
453,5,Wifi was slow,4,2024-03-06
454,1,Tasty food,5,2024-01-09
455,5,Will come again,1,2024-04-03
456,2,Needs more vegan options,3,2024-04-10
457,4,Not impressed,3,2024-01-19
458,5,Very clean,5,2024-03-03
459,5,Needs more vegan options,5,2024-02-29
460,1,Line was too long,2,2024-02-20
461,2,Best coffee ever,3,2024-03-13
462,5,Excellent staff,1,2024-01-05
463,3,Loved the croissant,4,2024-01-16
464,2,Excellent staff,4,2024-03-30
465,1,Coffee was cold,4,2024-01-07
466,1,Best coffee ever,3,2024-01-02
467,1,Friendly barista,3,2024-03-18
468,2,Too noisy,2,2024-01-31
469,2,Line was too long,4,2024-03-26
470,5,Loved the croissant,3,2024-02-02
471,1,Not impressed,2,2024-02-09
472,1,Loved the croissant,4,2024-04-22
473,2,Bad experience,2,2024-02-28
474,2,Tasty food,4,2024-04-04
475,3,Best coffee ever,2,2024-03-23
476,1,Too noisy,5,2024-01-06
477,2,Coffee was cold,3,2024-02-15
478,2,Will come again,4,2024-02-09
479,5,Excellent staff,4,2024-02-12
480,1,Tasty food,5,2024-04-19
481,3,Very clean,5,2024-03-14
482,2,Very clean,4,2024-04-22
483,5,Too noisy,4,2024-01-12
484,5,Too noisy,3,2024-03-30
485,4,Great service!,3,2024-01-04
486,1,Tasty food,4,2024-04-24
487,5,Loved the croissant,4,2024-02-28
488,3,Excellent staff,5,2024-02-18
489,1,Wifi was slow,4,2024-01-05
490,3,Coffee was cold,3,2024-04-03
491,5,Not impressed,4,2024-01-24
492,1,Loved the croissant,4,2024-04-19
493,5,Needs more vegan options,5,2024-04-12
494,5,Bad experience,4,2024-02-04
495,5,Friendly barista,3,2024-01-05
496,2,Coffee was cold,4,2024-01-05
497,2,Needs more vegan options,5,2024-03-12
498,3,Friendly barista,5,2024-04-27
499,2,Excellent staff,5,2024-04-08
500,3,Line was too long,5,2024-02-24
501,2,Line was too long,3,2024-03-05
502,5,Will come again,4,2024-03-06
503,2,Bad experience,5,2024-01-07
504,4,Loved the croissant,5,2024-01-15
505,5,Tasty food,4,2024-03-18
506,4,Great service!,4,2024-03-17
507,5,Great service!,3,2024-02-13
508,2,Excellent staff,4,2024-01-29
509,1,Tasty food,4,2024-04-23
510,3,Very clean,4,2024-01-02
511,5,Coffee was cold,4,2024-02-27
512,1,Best coffee ever,5,2024-03-11
513,1,Very clean,5,2024-01-10
514,2,Line was too long,2,2024-03-24
515,5,Loved the croissant,4,2024-03-29
516,1,Too noisy,3,2024-02-24
517,3,Very clean,2,2024-03-30
518,4,Very clean,4,2024-02-11
519,2,Coffee was cold,4,2024-03-10
520,2,Coffee was cold,2,2024-03-08
521,2,Loved the croissant,4,2024-03-12
522,3,Bad experience,3,2024-01-13
523,2,Will come again,4,2024-02-06
524,3,Not impressed,5,2024-01-08
525,1,Excellent staff,2,2024-02-09
526,5,Wifi was slow,4,2024-04-02
527,1,Friendly barista,3,2024-03-31
528,5,Great service!,4,2024-01-09
529,2,Coffee was cold,5,2024-03-18
530,1,Excellent staff,3,2024-02-29
531,3,Great service!,4,2024-03-15
532,2,Bad experience,2,2024-03-29
533,1,Very clean,4,2024-03-27
534,1,Not impressed,4,2024-01-10
535,3,Loved the croissant,4,2024-03-11
536,3,Will come again,4,2024-03-17
537,1,Very clean,4,2024-01-22
538,3,Bad experience,5,2024-04-14
539,4,Not impressed,4,2024-04-13
540,4,Excellent staff,3,2024-04-22
541,3,Best coffee ever,3,2024-02-25
542,1,Not impressed,3,2024-02-15
543,3,Bad experience,4,2024-01-18
544,3,Loved the croissant,3,2024-03-13
545,5,Friendly barista,4,2024-03-26
546,4,Not impressed,4,2024-04-26
547,2,Too noisy,3,2024-04-28
548,2,Not impressed,4,2024-02-28
549,2,Very clean,4,2024-03-01
550,3,Tasty food,1,2024-04-20
551,2,Wifi was slow,3,2024-04-21
552,5,Bad experience,4,2024-02-21
553,3,Excellent staff,5,2024-01-09
554,1,Very clean,4,2024-04-15
555,1,Excellent staff,4,2024-03-03
556,3,Loved the croissant,4,2024-03-04
557,4,Wifi was slow,4,2024-01-14
558,4,Not impressed,4,2024-03-16
559,1,Too noisy,5,2024-04-13
560,2,Not impressed,5,2024-01-17
561,5,Not impressed,4,2024-01-17
562,3,Very clean,4,2024-02-20
563,5,Needs more vegan options,3,2024-02-25
564,5,Too noisy,4,2024-01-24
565,5,Coffee was cold,4,2024-04-23
566,3,Will come again,4,2024-03-17
567,2,Will come again,3,2024-04-22
568,3,Excellent staff,5,2024-02-05
569,1,Great service!,5,2024-03-02
570,2,Coffee was cold,3,2024-01-18
571,1,Not impressed,3,2024-04-26
572,5,Loved the croissant,3,2024-04-03
573,2,Not impressed,3,2024-02-24
574,5,Coffee was cold,5,2024-04-15
575,1,Needs more vegan options,3,2024-02-11
576,3,Bad experience,4,2024-04-10
577,2,Line was too long,2,2024-03-05
578,5,Line was too long,4,2024-01-14
579,4,Excellent staff,2,2024-01-10
580,5,Excellent staff,3,2024-01-05
581,1,Wifi was slow,5,2024-01-22
582,1,Friendly barista,3,2024-04-14
583,3,Line was too long,3,2024-04-02
584,2,Friendly barista,4,2024-04-22
585,4,Very clean,2,2024-04-24
586,1,Will come again,4,2024-04-05
587,2,Coffee was cold,5,2024-04-04
588,4,Best coffee ever,3,2024-02-06
589,3,Very clean,4,2024-02-02
590,2,Very clean,2,2024-04-03
591,5,Coffee was cold,4,2024-04-12
592,4,Coffee was cold,5,2024-04-06
593,5,Loved the croissant,4,2024-01-10
594,5,Excellent staff,4,2024-03-04
595,4,Great service!,1,2024-02-27
596,5,Line was too long,3,2024-03-03
597,4,Bad experience,4,2024-02-04
598,5,Excellent staff,4,2024-02-18
599,3,Not impressed,4,2024-01-28
600,3,Needs more vegan options,1,2024-02-24
601,2,Bad experience,4,2024-04-15
602,5,Excellent staff,3,2024-01-09
603,3,Bad experience,4,2024-04-14
604,3,Wifi was slow,5,2024-03-15
605,3,Very clean,5,2024-02-14
606,1,Loved the croissant,4,2024-01-27
607,5,Loved the croissant,2,2024-02-01
608,2,Too noisy,5,2024-02-10
609,3,Wifi was slow,4,2024-01-21
610,4,Wifi was slow,4,2024-03-16
611,1,Best coffee ever,2,2024-01-07
612,5,Very clean,4,2024-01-22
613,2,Loved the croissant,4,2024-04-05
614,3,Very clean,4,2024-02-23
615,4,Will come again,5,2024-03-07
616,1,Excellent staff,1,2024-03-16
617,4,Wifi was slow,3,2024-02-27
618,4,Wifi was slow,3,2024-03-17
619,1,Great service!,4,2024-03-26
620,4,Too noisy,3,2024-03-04
621,3,Friendly barista,4,2024-02-11
622,1,Tasty food,5,2024-04-11
623,5,Best coffee ever,5,2024-02-22
624,1,Tasty food,1,2024-01-28
625,2,Line was too long,5,2024-04-25
626,3,Very clean,4,2024-02-27
627,5,Wifi was slow,5,2024-01-05
628,3,Bad experience,4,2024-04-03
629,3,Wifi was slow,4,2024-02-24
630,1,Best coffee ever,4,2024-04-05
631,5,Will come again,4,2024-02-29
632,1,Needs more vegan options,4,2024-02-14
633,2,Best coffee ever,4,2024-03-24
634,2,Tasty food,4,2024-01-20
635,2,Bad experience,4,2024-04-14
636,1,Wifi was slow,1,2024-01-09
637,1,Too noisy,3,2024-01-07
638,2,Tasty food,4,2024-01-07
639,1,Very clean,4,2024-03-30
640,4,Coffee was cold,3,2024-04-06
641,4,Wifi was slow,4,2024-02-19
642,4,Tasty food,4,2024-04-04
643,3,Line was too long,5,2024-04-17
644,5,Friendly barista,4,2024-01-14
645,5,Excellent staff,4,2024-04-20
646,5,Friendly barista,3,2024-04-08
647,2,Will come again,2,2024-04-03
648,4,Great service!,1,2024-02-04
649,4,Friendly barista,4,2024-03-03
650,1,Excellent staff,2,2024-01-19
651,3,Loved the croissant,3,2024-03-13
652,3,Bad experience,5,2024-02-28
653,4,Great service!,4,2024-03-22
654,1,Tasty food,5,2024-03-04
655,4,Friendly barista,2,2024-03-05
656,2,Will come again,5,2024-01-17
657,2,Tasty food,5,2024-03-26
658,5,Wifi was slow,5,2024-01-12
659,5,Not impressed,3,2024-02-24
660,4,Loved the croissant,2,2024-01-18
661,5,Tasty food,5,2024-03-06
662,4,Very clean,3,2024-01-24
663,3,Friendly barista,4,2024-04-12
664,2,Loved the croissant,4,2024-01-04
665,1,Wifi was slow,5,2024-03-27
666,1,Excellent staff,4,2024-01-04
667,3,Will come again,4,2024-01-21
668,4,Best coffee ever,4,2024-01-27
669,2,Friendly barista,4,2024-01-11
670,4,Tasty food,4,2024-03-02
671,4,Best coffee ever,4,2024-03-04
672,3,Excellent staff,2,2024-03-28
673,3,Great service!,5,2024-01-27
674,5,Great service!,3,2024-03-04
675,3,Best coffee ever,4,2024-02-05
676,5,Bad experience,1,2024-03-31
677,1,Will come again,3,2024-04-28
678,5,Best coffee ever,4,2024-04-01
679,5,Needs more vegan options,4,2024-03-02
680,1,Very clean,4,2024-02-16
681,2,Bad experience,3,2024-04-07
682,4,Will come again,5,2024-03-06
683,4,Very clean,4,2024-02-10
684,3,Needs more vegan options,4,2024-03-30
685,3,Very clean,3,2024-02-14
686,2,Not impressed,3,2024-03-19
687,3,Not impressed,4,2024-01-24
688,4,Tasty food,3,2024-01-19
689,5,Line was too long,4,2024-03-11
690,5,Tasty food,3,2024-03-21
691,3,Will come again,5,2024-04-21
692,4,Very clean,4,2024-03-08
693,1,Tasty food,3,2024-04-09
694,1,Tasty food,2,2024-02-09
695,5,Loved the croissant,5,2024-04-03
696,4,Tasty food,3,2024-03-04
697,5,Loved the croissant,4,2024-02-21
698,4,Wifi was slow,3,2024-02-12
699,1,Too noisy,4,2024-04-14
700,3,Will come again,4,2024-03-02
701,2,Wifi was slow,2,2024-02-24
702,3,Too noisy,2,2024-03-18
703,4,Coffee was cold,5,2024-02-11
704,5,Not impressed,5,2024-02-28
705,5,Coffee was cold,3,2024-02-17
706,1,Excellent staff,4,2024-02-15
707,1,Wifi was slow,5,2024-02-22
708,3,Excellent staff,4,2024-04-29
709,3,Friendly barista,4,2024-03-04
710,2,Bad experience,1,2024-01-20
